Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Auvergne-Rhône-Alpes;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Ain;01001;L'Abergement-Clémenciat;104;1;0;157;41;104;44;42;11;2;0;2;16;526
;01002;L'Abergement-de-Varey;22;2;0;48;9;35;10;19;2;0;1;1;7;156
;01004;Ambérieu-en-Bugey;1753;22;31;2165;600;1664;737;953;203;30;1;86;248;8492
;01005;Ambérieux-en-Dombes;219;0;2;363;58;219;77;113;22;3;0;13;25;1114
;01006;Ambléon;7;0;0;16;5;19;2;7;4;0;0;5;2;68
;01007;Ambronay;327;1;1;477;123;338;154;163;43;6;2;29;75;1739
;01008;Ambutrix;131;1;0;153;27;98;59;59;18;2;0;6;15;569
;01009;Andert-et-Condon;39;1;1;55;15;38;25;33;4;1;0;3;7;222
;01010;Anglefort;120;0;1;233;35;145;60;79;24;1;0;24;22;744
;01011;Apremont;48;0;1;68;18;52;12;21;2;0;0;2;7;233
;01012;Aranc;32;0;0;64;13;38;21;16;7;0;0;7;3;202
;01013;Arandas;13;1;0;36;3;15;6;18;4;0;0;2;5;104
;01014;Arbent;515;13;5;753;127;439;155;283;75;5;1;33;35;2440
;01015;Arboys en Bugey;71;1;0;106;32;66;54;52;14;3;0;12;16;426
;01016;Arbigny;36;0;0;78;11;71;28;44;10;0;0;3;12;293
;01017;Argis;39;1;1;61;21;52;21;37;6;1;0;6;7;252
;01019;Armix;2;0;0;4;1;2;0;4;1;0;0;0;0;14
;01021;Ars-sur-Formans;198;1;2;282;66;153;63;63;15;2;0;6;29;880
;01022;Artemare;121;2;1;181;69;142;69;78;23;1;0;15;31;733
;01023;Asnières-sur-Saône;3;0;0;17;2;8;3;5;4;0;0;4;2;49
;01024;Attignat;472;5;0;620;141;383;170;176;36;9;2;16;75;2105
;01025;Bâgé-Dommartin;428;2;2;824;127;533;184;287;68;4;2;47;90;2599
;01026;Bâgé-le-Châtel;113;1;1;193;42;95;56;49;11;1;1;6;18;587
;01027;Balan;243;2;1;367;72;256;98;99;23;4;1;11;26;1203
;01028;Baneins;63;2;0;115;36;84;27;47;9;1;0;6;8;399
;01029;Beaupont;57;1;0;102;16;80;42;38;15;2;0;15;22;390
;01030;Beauregard;91;2;1;123;45;101;60;60;13;2;0;9;11;518
;01031;Bellignat;481;2;2;616;160;369;174;228;56;0;2;18;46;2155
;01032;Béligneux;343;4;3;634;126;408;151;197;55;3;0;16;42;1982
;01033;Valserhône;1733;10;7;2818;652;1857;756;1057;199;22;2;66;189;9370
;01034;Belley;1007;10;3;1280;394;987;498;602;167;7;0;53;167;5176
;01035;Belleydoux;47;2;0;68;17;37;16;26;1;0;0;5;9;229
;01036;Valromey-sur-Séran;139;4;0;227;57;183;91;99;25;2;0;23;38;890
;01037;Bénonces;31;0;0;50;7;38;13;31;11;0;0;4;5;190
;01038;Bény;116;3;0;139;21;105;53;58;12;2;1;9;32;551
;01039;Béon;51;0;1;87;25;60;34;33;12;2;0;7;14;327
;01040;Béréziat;55;3;0;111;11;47;18;41;17;1;0;7;7;319
;01041;Bettant;104;8;1;113;37;92;51;48;12;0;0;9;20;495
;01042;Bey;32;3;0;66;6;33;15;18;6;0;0;2;6;188
;01043;Beynost;880;7;13;1427;218;462;244;250;55;10;0;30;76;3672
;01044;Billiat;82;1;1;121;29;66;39;41;8;1;1;1;15;408
;01045;Birieux;18;0;0;45;10;39;20;19;5;0;0;3;8;168
;01046;Biziat;89;0;0;179;39;84;34;47;18;2;0;6;18;518
;01047;Blyes;130;2;1;319;42;133;51;59;15;9;0;6;17;785
;01049;La Boisse;447;13;6;608;162;358;190;168;44;14;0;24;65;2099
;01050;Boissey;29;0;1;61;5;31;15;33;2;0;0;3;5;186
;01051;Bolozon;11;1;0;12;3;15;8;2;2;0;0;2;1;57
;01052;Bouligneux;41;0;0;70;13;36;24;24;6;0;1;2;11;228
;01053;Bourg-en-Bresse;6077;82;39;7314;1749;3947;2206;2358;515;97;6;219;608;25217
;01054;Bourg-Saint-Christophe;203;2;3;282;62;150;61;92;18;7;0;9;23;912
;01056;Boyeux-Saint-Jérôme;29;0;1;57;17;39;12;27;10;1;0;4;4;202
;01057;Boz;46;0;0;104;20;76;25;54;6;2;0;4;10;347
;01058;Brégnier-Cordon;87;4;1;138;23;115;44;73;6;1;0;3;20;516
;01060;Brénod;45;2;0;105;26;62;21;23;9;2;2;2;9;309
;01061;Brens;153;0;0;206;46;160;59;85;25;0;0;14;26;774
;01062;Bressolles;125;2;2;187;42;111;48;52;15;7;0;3;19;613
;01063;Brion;91;4;1;193;22;53;23;27;8;1;0;2;11;435
;01064;Briord;82;2;0;216;34;144;63;81;21;1;0;12;17;674
;01065;Buellas;301;3;1;363;88;211;109;111;23;1;1;10;38;1261
;01066;La Burbanche;10;1;0;15;2;13;5;3;2;0;0;1;3;56
;01067;Ceignes;30;0;1;56;17;33;20;14;3;0;0;3;4;182
;01068;Cerdon;72;2;0;140;16;74;39;47;16;2;1;5;10;425
;01069;Certines;229;3;2;286;88;168;84;88;18;1;1;5;24;997
;01071;Cessy;1305;1;5;1092;330;381;222;130;22;29;3;6;87;3614
;01072;Ceyzériat;490;6;3;605;159;317;176;149;35;7;1;17;57;2022
;01073;Ceyzérieu;128;1;0;178;55;118;75;79;25;2;0;5;37;702
;01074;Chalamont;260;4;2;451;82;243;112;140;37;2;2;21;85;1441
;01075;Chaleins;154;4;1;291;53;162;72;65;20;2;0;5;30;858
;01076;Chaley;19;0;0;22;6;21;8;13;2;0;0;1;2;94
;01077;Challes-la-Montagne;18;0;0;37;3;21;8;15;5;0;0;1;5;113
;01078;Challex;288;2;5;243;81;104;85;40;9;6;0;2;19;884
;01079;Champagne-en-Valromey;79;0;1;125;25;73;41;44;11;0;0;3;21;423
;01080;Champdor-Corcelles;75;1;0;119;20;88;38;33;8;1;0;2;9;394
;01081;Champfromier;82;0;0;237;24;98;43;32;6;1;0;4;12;539
;01082;Chanay;62;1;1;116;23;63;38;42;7;3;1;8;27;392
;01083;Chaneins;91;3;1;180;35;134;61;69;24;0;0;8;15;621
;01084;Chanoz-Châtenay;107;1;0;158;28;119;53;56;9;2;0;5;9;547
;01085;La Chapelle-du-Châtelard;50;0;0;76;11;52;18;26;5;1;0;2;5;247
;01087;Charix;36;1;0;54;14;30;14;19;3;1;0;3;4;180
;01088;Charnoz-sur-Ain;138;4;1;208;46;146;50;60;16;3;0;7;29;709
