Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Côte-d'Or;21001;Agencourt;54;0;1;66;22;48;17;27;3;1;0;3;6;248
;21002;Agey;30;1;0;50;2;38;9;27;7;0;0;3;5;173
;21003;Ahuy;437;2;6;409;72;136;85;58;20;8;0;10;28;1272
;21004;Aignay-le-Duc;25;0;0;59;11;36;24;27;10;0;0;6;10;209
;21005;Aiserey;159;1;2;266;43;173;74;93;23;2;0;10;34;879
;21006;Aisey-sur-Seine;13;0;0;21;4;17;7;19;9;1;0;5;9;106
;21007;Aisy-sous-Thil;19;0;0;46;3;31;17;22;5;0;0;6;11;161
;21008;Alise-Sainte-Reine;41;1;0;64;16;50;24;27;8;0;0;4;10;245
;21009;Allerey;20;0;0;24;3;20;13;18;9;0;0;8;10;125
;21010;Aloxe-Corton;23;0;0;22;6;17;11;14;0;2;0;1;2;99
;21011;Ampilly-les-Bordes;3;0;0;21;2;5;6;9;1;0;0;1;0;48
;21012;Ampilly-le-Sec;36;0;0;67;8;38;25;22;11;0;0;5;5;218
;21013;Ancey;42;4;0;83;18;46;32;26;8;2;0;3;13;277
;21014;Antheuil;1;0;0;18;4;8;6;5;1;0;0;3;4;50
;21015;Antigny-la-Ville;3;0;0;7;1;12;6;14;4;0;0;3;3;53
;21016;Arceau;116;1;1;193;41;116;45;51;18;4;0;9;23;617
;21017;Arcenant;62;2;0;101;15;69;22;29;8;0;0;7;18;334
;21018;Arcey;4;0;0;15;2;3;3;6;3;0;0;0;2;39
;21020;Arconcey;22;0;0;31;6;34;5;22;4;1;0;6;13;144
;21021;Arc-sur-Tille;472;10;5;555;124;277;161;128;33;4;0;14;34;1817
;21022;Argilly;45;0;0;99;17;71;29;41;15;0;0;4;11;334
;21023;Arnay-le-Duc;119;2;0;265;39;162;71;112;38;1;0;20;58;888
;21024;Arnay-sous-Vitteaux;3;0;0;20;3;17;5;15;6;0;0;1;1;72
;21025;Arrans;2;0;0;12;0;7;1;8;4;0;0;0;1;35
;21026;Asnières-en-Montagne;20;0;0;25;2;26;6;13;5;0;0;5;8;111
;21027;Asnières-lès-Dijon;218;5;1;267;60;130;70;59;13;6;0;3;15;847
;21028;Athée;68;1;0;131;27;86;28;68;14;5;0;12;22;462
;21029;Athie;4;0;0;12;3;7;0;9;2;0;0;2;3;42
;21030;Aubaine;7;1;0;16;3;7;5;8;1;0;0;1;2;52
;21031;Aubigny-en-Plaine;50;1;0;97;12;76;21;36;13;3;0;6;11;326
;21032;Aubigny-la-Ronce;13;1;0;35;7;16;13;19;1;0;0;2;3;109
;21033;Aubigny-lès-Sombernon;7;0;0;22;3;30;5;11;10;1;0;6;3;99
;21034;Autricourt;10;1;0;31;3;23;7;11;4;0;0;2;1;93
;21035;Auvillars-sur-Saône;19;0;0;66;5;55;12;21;6;1;0;7;6;197
;21036;Auxant;5;0;0;18;2;5;2;8;3;0;0;2;4;49
;21037;Auxey-Duresses;48;0;0;76;15;32;21;15;2;0;0;4;16;230
;21038;Auxonne;618;12;5;1195;242;794;373;501;135;6;1;66;148;4096
;21039;Avelanges;1;0;0;14;0;6;2;5;1;0;0;2;1;32
;21040;Avosnes;5;0;0;17;3;9;1;11;4;0;0;0;0;51
;21041;Avot;11;3;0;34;2;25;7;16;4;0;0;2;5;110
;21042;Bagnot;17;0;1;24;5;16;5;18;5;0;0;1;3;95
;21043;Baigneux-les-Juifs;25;0;0;38;5;34;14;22;3;0;1;8;4;154
;21044;Balot;7;0;0;15;1;13;4;14;5;0;0;0;5;65
;21045;Barbirey-sur-Ouche;22;3;0;49;10;35;16;12;10;0;0;9;2;168
;21046;Bard-le-Régulier;7;0;0;12;5;8;2;6;4;0;0;7;2;54
;21047;Bard-lès-Époisses;3;0;0;6;3;13;1;8;2;0;0;0;6;42
;21048;Barges;96;3;0;130;33;63;22;38;9;1;1;5;8;410
;21049;Barjon;2;0;0;7;0;6;2;0;1;0;0;0;0;18
;21050;Baubigny;25;0;0;32;11;30;17;17;5;0;0;3;4;145
;21051;Baulme-la-Roche;7;2;0;10;2;15;8;8;2;1;0;0;2;57
;21052;Beaulieu;4;0;0;4;0;3;5;0;1;0;0;0;0;18
;21053;Beaumont-sur-Vingeanne;19;0;0;32;3;25;7;14;6;0;0;3;5;114
;21054;Beaune;3347;33;30;4209;919;1914;1173;990;234;59;6;132;456;13503
;21055;Beaunotte;0;0;0;2;0;1;1;3;1;0;0;0;2;10
;21056;Beire-le-Châtel;94;4;1;174;35;102;53;47;14;2;0;4;17;547
;21057;Beire-le-Fort;40;0;0;65;11;47;12;30;3;2;0;0;7;217
;21058;Belan-sur-Ource;11;0;0;41;9;28;8;22;6;0;0;5;5;134
;21059;Bellefond;166;1;1;166;52;90;53;50;7;1;0;2;11;600
;21060;Belleneuve;210;5;4;314;61;184;78;96;13;0;2;15;32;1016
;21061;Bellenod-sur-Seine;4;0;0;9;1;12;4;9;2;0;0;2;2;46
;21062;Bellenot-sous-Pouilly;24;0;1;50;4;31;10;13;10;0;0;5;3;152
;21063;Beneuvre;5;0;0;21;6;15;7;10;1;0;0;6;5;77
;21064;Benoisey;4;1;0;19;3;17;3;11;4;0;0;2;3;67
;21065;Bessey-en-Chaume;6;0;0;26;1;16;5;12;4;1;0;3;6;80
