Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bretagne;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Côtes-d'Armor;22001;Allineuc;27;1;0;111;8;78;22;52;22;2;0;14;14;352
;22002;Andel;100;1;0;237;33;148;43;92;27;0;0;15;15;712
;22003;Aucaleuc;92;1;0;166;25;120;42;63;27;0;0;9;29;574
;22004;Bégard;473;7;0;775;139;624;253;402;116;2;2;91;95;2978
;22005;Belle-Isle-en-Terre;69;3;0;161;28;115;51;80;28;2;0;12;22;571
;22006;Berhet;16;0;0;31;7;26;17;18;11;0;0;5;10;142
;22008;Bobital;120;0;0;229;41;158;57;65;24;3;1;6;29;734
;22009;Le Bodéo;7;0;0;22;2;25;8;11;6;0;0;1;4;85
;22011;Boqueho;82;3;0;174;21;133;46;84;31;0;1;16;20;612
;22012;La Bouillie;86;0;0;135;25;104;51;70;25;0;1;12;22;530
;22013;Bourbriac;135;5;0;434;59;326;94;164;54;3;0;34;68;1375
;22014;Bourseul;56;3;0;223;24;155;47;109;34;2;0;20;33;704
;22015;Bréhand;91;2;0;326;36;241;68;127;36;1;0;28;33;991
;22016;Île-de-Bréhat;28;0;0;27;7;28;13;12;4;1;0;2;3;126
;22018;Brélidy;18;0;0;49;10;48;13;31;10;0;0;6;6;191
;22019;Bringolo;29;3;0;86;8;50;18;37;13;1;0;5;15;266
;22020;Broons;212;1;0;606;76;348;133;217;55;2;0;38;66;1754
;22021;Brusvily;83;1;0;201;30;163;56;95;43;1;1;24;31;730
;22023;Bulat-Pestivien;24;1;0;65;15;60;23;33;15;0;0;9;14;259
