Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Corse;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Corse-du-Sud;2A001;Afa;688;5;7;585;194;346;144;135;37;11;0;22;54;2228
;2A004;Ajaccio;13523;68;56;7863;3760;4480;3193;2282;520;96;2;331;706;36881
;2A006;Alata;749;9;4;552;209;322;166;198;29;5;0;46;48;2337
;2A008;Albitreccia;156;3;4;167;61;71;44;46;11;2;1;9;25;601
;2A011;Altagène;11;0;0;6;1;4;4;2;2;0;0;0;1;31
;2A014;Ambiegna;5;0;0;7;3;2;4;2;1;0;0;0;0;25
;2A017;Appietto;349;0;5;255;98;162;106;100;25;4;0;15;27;1146
;2A018;Arbellara;24;1;0;19;10;21;13;9;6;0;0;1;3;109
;2A019;Arbori;5;1;0;10;3;7;5;2;1;0;0;1;4;39
;2A021;Argiusta-Moriccio;11;1;0;8;3;10;4;9;0;0;0;2;2;50
;2A022;Arro;4;0;0;5;2;3;4;3;0;0;0;0;4;26
;2A024;Aullène;9;0;0;22;3;13;10;8;3;0;0;3;1;73
;2A026;Azilone-Ampaza;12;0;0;25;5;19;12;8;2;0;0;6;2;92
;2A027;Azzana;3;0;0;6;1;5;5;6;0;0;0;1;1;29
;2A028;Balogna;17;1;0;14;3;8;8;7;3;0;0;3;3;67
;2A031;Bastelica;46;1;0;79;12;27;23;16;2;0;0;4;3;213
;2A032;Bastelicaccia;881;5;2;588;239;425;227;203;52;9;0;33;77;2740
;2A035;Belvédère-Campomoro;44;0;0;32;12;22;20;22;6;1;0;5;9;172
;2A038;Bilia;13;0;0;4;7;3;5;5;1;0;0;0;2;40
;2A040;Bocognano;84;0;0;89;24;27;22;27;3;0;0;4;7;287
;2A041;Bonifacio;517;5;3;522;226;381;230;237;79;7;1;43;63;2313
;2A048;Calcatoggio;121;1;0;152;34;65;56;54;15;2;1;13;30;544
;2A056;Campo;20;0;0;19;9;13;3;2;1;0;0;0;3;71
;2A060;Cannelle;5;0;0;3;2;4;2;0;0;0;0;0;0;17
;2A061;Carbini;13;0;0;21;5;17;6;3;2;0;0;1;1;69
;2A062;Carbuccia;52;2;0;53;12;35;25;24;6;1;0;3;11;224
;2A064;Cardo-Torgia;2;0;0;4;0;5;2;2;1;0;0;0;1;17
;2A065;Cargèse;210;3;0;185;83;92;103;75;21;0;0;11;22;805
;2A066;Cargiaca;2;0;0;3;5;2;0;1;0;0;0;0;0;13
;2A070;Casaglione;84;0;0;73;32;46;34;30;7;0;0;5;10;321
;2A071;Casalabriva;17;1;0;20;13;26;19;14;5;2;0;1;12;132
;2A085;Cauro;173;3;0;162;57;116;60;64;19;4;0;19;16;694
;2A089;Ciamannacce;10;0;0;11;2;2;0;1;1;0;0;4;3;34
;2A090;Coggia;178;0;0;214;66;94;75;64;21;1;0;15;43;771
;2A091;Cognocoli-Monticchi;21;0;0;21;2;12;12;7;3;0;0;2;6;87
;2A092;Conca;82;2;2;129;46;101;59;87;19;0;0;18;25;571
;2A094;Corrano;5;0;0;9;2;8;2;4;4;0;0;1;2;37
;2A098;Coti-Chiavari;155;0;3;142;49;91;89;78;21;2;0;14;45;688
;2A099;Cozzano;18;0;0;41;7;14;5;10;2;0;0;3;3;104
;2A100;Cristinacce;5;0;0;7;0;4;2;2;0;0;0;1;5;26
;2A103;Cuttoli-Corticchiato;356;7;3;293;109;209;111;102;26;3;0;20;29;1267
;2A104;Eccica-Suarella;220;1;1;206;56;107;59;58;17;1;0;10;11;747
;2A108;Évisa;21;0;0;31;7;15;10;11;2;0;0;3;2;103
;2A114;Figari;315;3;1;603;81;184;105;128;42;3;0;34;49;1549
;2A115;Foce;15;0;0;21;9;6;7;6;4;0;0;1;0;70
;2A117;Forciolo;3;0;0;3;0;6;2;1;0;0;0;2;1;18
;2A118;Fozzano;27;1;0;28;10;17;11;8;4;0;0;1;5;113
;2A119;Frasseto;12;0;0;9;3;6;5;5;1;0;0;1;2;45
;2A127;Giuncheto;6;0;1;13;3;8;4;6;2;0;0;1;6;50
;2A128;Granace;6;1;0;9;4;9;5;7;1;0;0;2;2;46
;2A129;Grossa;8;1;0;5;3;3;10;4;2;0;0;0;1;37
;2A130;Grosseto-Prugna;923;9;7;749;367;499;398;281;73;9;0;38;121;3474
;2A131;Guagno;20;0;0;16;3;5;3;4;0;0;0;2;2;56
;2A132;Guargualé;6;0;0;6;9;9;9;4;0;0;0;1;3;47
;2A133;Guitera-les-Bains;9;0;0;20;2;13;1;8;4;0;0;0;0;57
;2A139;Lecci;231;1;3;233;87;184;131;127;34;1;0;21;53;1105
;2A141;Letia;13;0;0;15;8;11;15;7;1;0;1;3;2;77
;2A142;Levie;106;0;0;111;35;79;42;40;12;0;0;14;8;448
;2A144;Lopigna;7;2;0;11;5;11;11;6;2;0;0;2;2;60
;2A146;Loreto-di-Tallano;8;0;0;6;4;6;5;3;1;0;0;0;1;34
;2A154;Marignana;14;0;0;10;5;8;1;9;2;0;0;3;4;56
;2A158;Mela;2;0;0;3;4;6;2;3;2;0;0;2;0;24
;2A160;Moca-Croce;24;0;0;27;3;18;13;11;3;0;0;2;5;106
;2A163;Monacia-d'Aullène;56;1;0;73;25;52;32;36;9;0;0;7;11;303
;2A174;Murzo;14;1;0;11;4;11;6;2;2;0;0;1;5;58
;2A181;Ocana;70;1;1;82;20;45;23;28;5;0;0;7;9;291
;2A186;Olivese;33;1;0;32;12;20;13;13;9;0;0;1;6;140
;2A189;Olmeto;210;1;1;212;76;127;109;93;40;3;0;19;35;926
;2A191;Olmiccia;11;0;0;11;4;15;6;10;2;0;0;2;2;63
;2A196;Orto;9;0;0;8;1;3;1;1;0;0;0;0;0;23
;2A197;Osani;9;0;0;8;5;10;14;11;3;0;0;2;5;68
;2A198;Ota;71;1;1;64;22;43;39;22;9;0;0;6;5;283
;2A200;Palneca;9;0;0;7;1;5;3;5;0;0;0;0;3;34
;2A203;Partinello;15;0;0;4;6;5;5;5;4;0;0;3;3;50
;2A204;Pastricciola;6;0;0;9;2;7;4;4;2;0;0;2;2;39
;2A209;Peri;367;3;0;326;125;192;115;98;25;0;0;12;28;1292
;2A211;Petreto-Bicchisano;62;0;0;98;24;53;36;46;14;0;0;6;16;355
;2A212;Piana;58;1;1;57;18;50;34;22;3;2;0;5;15;266
;2A215;Pianottoli-Caldarello;117;1;2;136;51;107;55;75;20;1;0;11;22;599
;2A228;Pietrosella;368;3;2;243;117;147;158;101;24;5;0;18;69;1257
;2A232;Pila-Canale;44;1;1;38;13;30;13;10;1;0;0;4;6;161
;2A240;Poggiolo;14;0;0;11;3;1;5;1;0;0;0;1;0;36
;2A247;Porto-Vecchio;2359;26;34;2564;823;1795;987;1177;304;43;1;223;344;10678
;2A249;Propriano;486;5;4;480;167;353;198;199;55;2;0;43;58;2050
;2A253;Quasquara;9;0;0;1;1;4;4;3;1;0;0;2;0;25
;2A254;Quenza;30;0;2;27;4;27;10;21;7;0;0;4;7;141
;2A258;Renno;6;0;0;6;2;10;3;6;2;0;0;2;2;39
;2A259;Rezza;7;0;0;4;1;4;3;1;0;0;0;0;0;21
;2A262;Rosazia;9;0;0;10;1;6;4;2;0;0;0;2;1;35
;2A266;Salice;16;0;0;5;3;8;1;3;2;1;1;0;2;42
;2A268;Sampolo;10;0;0;6;1;8;4;2;2;1;0;0;3;37
;2A269;Sari-Solenzara;217;2;0;270;80;206;111;108;37;1;0;28;36;1096
;2A270;Sari-d'Orcino;37;1;0;44;14;34;16;10;5;0;0;6;9;176
;2A271;Sarrola-Carcopino;785;2;6;646;226;332;170;156;44;12;0;26;38;2443
;2A272;Sartène;384;5;2;473;144;293;209;215;72;5;0;38;75;1916
;2A276;Serra-di-Ferro;69;0;0;101;27;40;50;47;18;0;0;8;20;382
;2A278;Serra-di-Scopamène;12;0;0;9;2;12;5;6;3;0;0;1;3;55
;2A279;Serriera;21;0;0;18;8;6;6;5;3;0;0;6;2;75
;2A282;Soccia;18;0;0;17;5;12;7;8;0;0;0;0;3;72
;2A284;Sollacaro;48;1;0;60;19;42;28;24;8;1;0;8;11;249
;2A285;Sorbollano;13;0;0;8;2;4;6;3;0;0;0;0;1;38
;2A288;Sotta;178;4;0;263;52;145;102;90;28;3;0;26;38;927
;2A295;Sant'Andréa-d'Orcino;10;0;0;10;2;4;1;5;2;0;0;0;1;36
;2A300;San-Gavino-di-Carbini;33;0;2;51;16;36;27;25;10;0;0;6;12;218
;2A308;Sainte-Lucie-de-Tallano;57;0;0;82;24;30;36;36;6;1;0;12;11;295
;2A310;Santa-Maria-Figaniella;8;0;0;13;5;7;3;4;0;0;0;1;2;44
;2A312;Santa-Maria-Siché;61;0;0;73;17;34;18;34;3;0;0;6;17;263
;2A322;Tasso;7;0;0;12;1;8;4;2;0;0;0;5;2;41
