Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Grand Est;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Ardennes;08001;Acy-Romance;47;1;0;87;13;68;10;24;8;3;0;1;2;265
;08003;Aiglemont;255;9;5;301;80;222;94;85;28;6;0;14;28;1128
;08004;Aire;15;0;0;56;9;33;11;14;6;0;0;3;3;151
;08005;Alincourt;12;0;0;39;6;20;2;4;4;0;0;1;0;88
;08006;Alland'Huy-et-Sausseuil;19;0;0;53;1;38;7;28;7;0;0;2;2;158
;08008;Amagne;61;1;0;147;23;92;20;62;18;0;0;5;11;441
;08010;Ambly-Fleury;5;0;0;27;1;20;7;13;4;0;0;3;5;86
;08011;Anchamps;16;1;0;35;6;38;7;18;3;0;0;3;2;130
;08013;Angecourt;34;2;0;81;7;29;26;31;10;0;1;1;6;228
;08014;Annelles;7;0;0;39;3;21;3;9;0;0;0;1;0;83
;08015;Antheny;7;0;0;26;2;15;3;6;2;0;0;1;6;69
;08016;Aouste;14;0;1;34;2;23;9;17;4;0;0;3;6;114
;08017;Apremont;6;0;0;15;5;14;5;12;8;0;0;1;2;68
;08018;Ardeuil-et-Montfauxelles;4;0;0;16;2;13;7;9;3;0;0;2;1;58
;08019;Les Grandes-Armoises;8;0;0;12;1;4;0;3;1;0;0;0;2;31
;08020;Les Petites-Armoises;6;0;0;16;0;4;1;7;2;0;0;0;1;37
;08021;Arnicourt;12;0;0;41;3;26;5;8;6;1;0;1;1;105
;08022;Arreux;47;1;0;74;18;39;13;35;6;0;0;2;7;242
;08023;Artaise-le-Vivier;7;0;0;16;1;9;4;2;1;0;0;1;0;42
;08024;Asfeld;96;0;0;228;34;136;48;84;24;1;0;11;28;690
;08025;Attigny;79;0;0;231;27;157;41;100;24;1;0;15;20;695
;08026;Aubigny-les-Pothées;28;1;0;54;5;40;12;20;3;0;0;5;3;172
;08027;Auboncourt-Vauzelles;10;0;0;22;1;20;2;10;1;0;0;0;1;68
;08028;Aubrives;103;8;0;158;30;124;43;72;13;2;0;9;15;576
;08029;Auflance;6;0;0;18;1;11;4;6;6;0;0;0;1;53
;08030;Auge;1;0;0;9;2;8;2;11;5;0;0;4;2;44
;08031;Aure;2;0;0;15;2;6;3;1;2;0;0;1;1;33
;08032;Aussonce;18;0;0;51;2;31;5;12;2;0;0;0;2;124
;08033;Authe;3;0;0;20;1;13;3;6;0;1;0;1;2;50
;08034;Autrecourt-et-Pourron;35;1;0;63;10;53;18;36;9;0;0;3;3;233
;08035;Autruche;4;0;0;14;0;8;2;3;1;0;0;0;0;33
;08036;Autry;9;0;0;21;2;16;4;9;5;1;0;3;3;73
;08037;Auvillers-les-Forges;42;2;0;144;22;108;39;70;25;0;1;10;19;482
;08038;Avançon;19;0;0;71;7;52;7;25;9;0;0;3;5;199
;08039;Avaux;44;0;0;115;18;67;18;37;9;0;0;5;8;322
;08040;Les Ayvelles;110;2;0;186;37;114;32;42;12;3;0;11;13;563
;08041;Baâlons;13;0;0;59;8;29;3;17;7;0;0;5;2;144
;08043;Balan;222;5;0;292;54;199;71;91;28;3;0;10;25;999
;08044;Balham;10;0;0;29;3;16;6;8;0;0;0;0;1;74
;08045;Ballay;21;0;0;47;11;27;10;21;6;1;0;3;14;162
;08046;Banogne-Recouvrance;9;0;0;52;7;19;4;11;4;0;0;7;7;120
;08048;Barby;31;1;0;98;6;61;16;28;8;0;0;3;6;259
;08049;Bar-lès-Buzancy;9;0;0;18;3;23;3;16;3;0;0;1;3;79
;08052;Bayonville;5;1;0;10;1;15;4;8;5;0;0;3;1;53
;08053;Bazeilles;238;3;3;535;83;284;107;158;30;3;1;13;57;1516
;08055;Beaumont-en-Argonne;17;0;0;89;10;66;9;43;15;0;0;7;6;263
;08056;Beffu-et-le-Morthomme;2;0;0;7;0;4;3;2;3;0;0;0;1;23
;08057;Belleville-et-Châtillon-sur-Bar;43;0;0;95;16;35;13;22;6;0;0;4;7;240
;08058;Belval;39;0;1;48;12;26;11;10;4;0;0;4;7;162
;08059;Belval-Bois-des-Dames;5;0;0;8;1;4;1;3;1;0;0;1;4;28
;08060;Bergnicourt;23;2;0;56;9;24;11;12;5;1;0;3;4;151
;08061;La Berlière;5;0;0;6;1;3;0;5;0;0;0;2;1;23
;08062;Bertoncourt;13;0;0;37;1;19;6;6;2;2;0;3;2;92
;08063;La Besace;6;0;0;21;0;14;6;20;2;1;0;3;6;80
;08064;Biermes;32;1;0;86;11;32;11;10;7;1;0;3;4;198
;08065;Bièvres;7;0;0;12;1;4;0;6;2;0;1;4;3;41
;08066;Bignicourt;1;0;0;19;2;11;2;5;2;0;0;1;1;44
;08067;Blagny;83;0;1;193;29;136;50;90;22;1;0;14;28;648
;08069;Blanchefosse-et-Bay;10;1;0;15;7;18;13;17;5;0;0;6;6;98
;08070;Blanzy-la-Salonnaise;19;0;0;80;6;42;15;22;7;0;0;7;12;212
;08071;Blombay;11;1;0;23;2;16;9;11;4;0;0;1;4;81
;08073;Bossus-lès-Rumigny;8;1;0;15;2;17;3;7;7;0;0;2;1;64
;08074;Bouconville;3;0;0;7;2;14;2;7;2;0;0;1;1;39
;08075;Boult-aux-Bois;8;0;0;21;10;24;11;11;4;0;0;3;1;93
