Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;
Région : Guadeloupe;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
97101;Les Abymes;12731;4;29;6441;2703;3079;2634;1348;304;38;10;108;419;29848
97102;Anse-Bertrand;518;0;1;537;160;325;216;180;55;3;0;23;53;2071
97103;Baie-Mahault;10216;6;53;7412;1458;2031;1184;747;144;101;9;46;148;23555
97104;Baillif;677;0;1;646;220;350;359;194;52;6;0;20;110;2634
97105;Basse-Terre;1422;0;5;1204;456;700;551;299;60;13;2;31;144;4887
97106;Bouillante;719;3;4;859;271;515;324;277;57;7;2;27;70;3135
97107;Capesterre-Belle-Eau;2022;4;3;2206;629;1238;729;642;167;2;2;30;125;7799
97108;Capesterre-de-Marie-Galante;650;0;0;135;152;86;194;53;17;1;0;20;29;1337
97109;Gourbeyre;1191;1;0;934;359;498;409;274;49;3;0;20;108;3845
97110;La Désirade;90;0;0;35;13;16;14;14;1;4;0;1;1;190
97111;Deshaies;478;0;2;530;202;340;242;164;40;5;0;17;50;2070
97112;Grand-Bourg;856;0;0;262;297;176;324;107;24;7;0;14;52;2119
97113;Le Gosier;5820;3;10;3580;1669;1729;1373;807;159;25;4;72;221;15472
97114;Goyave;1098;2;0;897;318;491;271;203;40;1;0;13;44;3379
97115;Lamentin;2516;3;1;2011;747;1049;719;485;121;13;2;43;124;7834
97116;Morne-à-l'Eau;2222;2;3;1699;737;1001;934;537;139;8;2;49;162;7495
97117;Le Moule;3064;2;4;2737;963;1504;1065;759;181;7;0;78;206;10569
97118;Petit-Bourg;4019;1;15;3144;1066;1499;957;659;136;27;3;50;166;11742
97119;Petit-Canal;935;0;1;990;321;541;439;318;85;3;0;35;71;3740
97120;Pointe-à-Pitre;2384;0;3;1562;718;738;673;291;50;10;4;20;87;6540
97121;Pointe-Noire;647;2;0;774;294;451;393;242;41;3;2;22;84;2955
97122;Port-Louis;594;0;1;588;203;350;268;171;44;0;1;14;38;2271
97124;Saint-Claude;1811;5;1;1582;487;716;565;352;62;3;2;22;147;5755
97125;Saint-François;2726;3;8;2096;840;1215;747;556;126;15;5;40;95;8470
97126;Saint-Louis;670;0;0;160;103;81;115;47;18;0;2;8;39;1244
97128;Sainte-Anne;4192;2;6;2842;1185;1609;1161;797;211;9;4;83;241;12344
97129;Sainte-Rose;2470;3;3;2045;889;1268;888;647;153;10;2;53;146;8576
97130;Terre-de-Bas;38;0;0;22;12;16;20;11;1;0;0;1;1;121
97131;Terre-de-Haut;42;0;0;30;13;20;14;5;0;0;0;0;1;126
97132;Trois-Rivières;1178;1;0;1230;363;599;393;302;77;4;3;25;90;4265
97133;Vieux-Fort;275;0;0;206;86;121;117;63;10;0;0;7;17;904
97134;Vieux-Habitants;936;1;0;898;300;572;454;285;80;4;0;56;137;3724
ND;ND;0;0;0;1;0;1;0;0;0;0;0;0;0;2
Région;;69207;49;154;50295;18235;24925;18742;11834;2706;332;61;1048;3427;201015
