Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;
Région : Guyane;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
97301;Régina;15;0;0;26;4;20;8;6;3;0;0;0;3;85
97302;Cayenne;8618;1;4;6733;1970;2588;1619;923;238;24;4;87;149;22957
97303;Iracoubo;38;0;0;97;17;52;12;17;3;0;0;2;3;241
97304;Kourou;1627;3;2;2035;641;1238;625;609;132;5;2;39;60;7018
97305;Macouria;1121;0;1;1566;260;602;258;241;76;0;0;23;29;4176
97306;Mana;210;0;0;352;85;154;58;63;17;2;0;5;3;949
97307;Matoury;3105;0;4;2966;817;1344;770;547;151;19;1;56;67;9845
97308;Saint-Georges;54;0;0;149;27;66;32;27;9;0;0;4;1;370
97309;Remire-Montjoly;3507;1;5;2397;961;1207;714;496;111;9;0;52;63;9523
97310;Roura;134;0;0;263;59;131;43;55;9;0;0;9;6;707
97311;Saint-Laurent-du-Maroni;1483;1;0;1298;601;682;431;306;68;0;2;28;32;4933
97312;Sinnamary;124;0;0;228;39;107;45;46;8;0;1;4;3;604
97313;Montsinéry-Tonnegrande;106;0;0;169;28;78;41;41;19;0;0;12;5;498
97314;Ouanary;1;0;0;1;0;1;1;0;0;0;0;0;0;4
97352;Saül;2;0;0;2;0;2;0;1;0;0;0;0;0;7
97353;Maripasoula;17;0;0;22;3;6;2;1;0;1;0;0;0;53
97356;Camopi;1;0;0;5;0;1;0;1;0;0;0;0;0;8
97357;Grand-Santi;6;0;0;11;2;1;2;0;0;0;0;0;1;23
97358;Saint-Élie;0;0;0;2;0;1;0;0;0;0;0;0;0;4
97360;Apatou;43;0;0;46;11;17;6;10;1;0;0;0;0;135
97361;Awala-Yalimapo;20;0;0;28;6;13;8;8;0;1;0;1;0;86
97362;Papaichton;3;0;0;7;1;3;0;1;0;0;0;0;0;15
Région;;20234;6;16;18403;5533;8315;4673;3400;845;61;10;322;425;62242
