Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Hauts-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Aisne;02001;Abbécourt;43;2;0;84;22;61;18;44;19;1;0;13;16;323
;02002;Achery;43;1;0;112;12;80;17;49;12;0;0;10;13;350
;02003;Acy;101;2;1;205;31;117;55;68;14;1;0;14;21;630
;02004;Agnicourt-et-Séchelles;11;0;0;29;8;28;6;21;2;0;0;3;5;113
;02005;Aguilcourt;27;0;0;79;10;45;22;35;4;0;1;4;12;240
;02006;Aisonville-et-Bernoville;24;1;0;68;8;27;11;27;9;0;0;1;8;184
;02007;Aizelles;7;0;0;31;2;15;2;12;2;0;0;2;8;81
;02008;Aizy-Jouy;15;0;0;63;10;36;12;22;10;0;0;5;1;174
;02009;Alaincourt;30;1;0;116;7;76;23;31;7;0;0;6;14;310
;02010;Allemant;10;0;0;37;2;21;7;10;3;0;0;3;4;97
;02011;Ambleny;145;0;1;252;39;144;54;74;21;1;1;9;14;756
;02012;Ambrief;7;0;0;19;2;9;3;9;1;0;0;1;1;53
;02013;Amifontaine;34;0;1;74;7;55;17;35;14;0;0;4;6;247
;02014;Amigny-Rouy;59;0;0;139;23;91;44;52;21;1;0;11;16;457
;02015;Ancienville;6;2;0;18;3;10;3;8;1;0;0;1;2;54
;02016;Andelain;19;0;0;32;12;38;12;23;8;0;0;2;8;154
;02017;Anguilcourt-le-Sart;26;2;0;46;4;35;11;27;4;1;0;3;8;168
;02018;Anizy-le-Grand;277;4;0;462;90;327;119;138;43;4;0;28;58;1551
;02019;Annois;28;3;0;60;9;39;13;32;14;1;0;5;6;211
;02020;Any-Martin-Rieux;34;1;0;85;7;69;19;42;11;1;0;5;5;278
;02021;Archon;4;0;0;13;1;9;3;10;3;0;0;2;2;47
;02022;Arcy-Sainte-Restitue;48;1;0;80;8;50;20;24;8;1;0;5;5;251
;02023;Armentières-sur-Ourcq;5;0;0;23;4;16;5;12;5;1;0;1;0;73
;02024;Arrancy;5;0;0;8;1;10;4;1;3;0;0;0;1;33
;02025;Artemps;47;1;0;69;8;40;12;24;10;1;0;3;10;227
;02027;Assis-sur-Serre;20;0;0;44;1;27;8;25;8;1;0;6;8;148
;02028;Athies-sous-Laon;346;2;1;536;108;285;149;158;42;1;0;21;53;1702
;02029;Attilly;44;0;0;70;10;51;25;18;5;0;0;5;1;230
;02030;Aubencheul-aux-Bois;26;0;0;64;16;26;7;13;2;0;0;1;2;157
;02031;Aubenton;47;5;1;107;14;76;28;62;30;0;0;13;25;408
;02032;Aubigny-aux-Kaisnes;17;0;0;37;7;23;6;23;9;1;0;5;4;133
;02033;Aubigny-en-Laonnois;5;0;0;28;1;12;8;11;2;1;0;1;2;71
;02034;Audignicourt;6;0;0;23;0;13;4;5;1;0;0;0;3;55
;02035;Audigny;21;0;0;38;7;39;13;32;4;1;0;1;1;158
