Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Île-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Paris;75056;Paris sans arrdt;16;2;0;21;74;101;185;86;13;0;0;11;23;531
;75101;Paris 1er Arrondissement;2280;15;213;2999;440;449;533;232;42;108;2;34;307;7654
;75102;Paris 2e Arrondissement;2224;8;212;3225;424;437;475;210;57;154;4;28;260;7718
;75103;Paris 3e Arrondissement;1935;17;81;1490;727;599;839;341;55;74;1;46;443;6648
;75104;Paris 4e Arrondissement;2037;14;52;1352;697;694;1034;355;67;98;25;46;432;6902
;75105;Paris 5e Arrondissement;4282;32;88;2404;1562;1309;1911;621;169;111;4;76;756;13326
;75106;Paris 6e Arrondissement;3945;20;143;2611;1435;1035;1575;426;97;113;9;64;804;12276
;75107;Paris 7e Arrondissement;7839;53;303;5118;2411;1792;2417;749;147;351;42;86;1198;22506
;75108;Paris 8e Arrondissement;15190;50;1242;19456;2138;1759;1897;631;136;2097;23;58;902;45581
;75109;Paris 9e Arrondissement;5937;29;283;9209;1250;1357;1543;635;170;201;13;92;722;21440
;75110;Paris 10e Arrondissement;4749;54;114;4500;1446;2105;1862;1049;243;101;8;175;819;17226
;75111;Paris 11e Arrondissement;8650;90;201;5561;3004;3154;3844;1551;369;230;9;215;1332;28210
;75112;Paris 12e Arrondissement;11541;95;213;8866;3415;3779;4292;1873;434;384;14;209;1285;36402
;75113;Paris 13e Arrondissement;15398;152;532;10047;4703;5462;5467;2499;515;384;29;277;1637;47103
;75114;Paris 14e Arrondissement;9454;96;173;7763;3443;3499;4325;1755;362;198;12;179;1477;32735
;75115;Paris 15e Arrondissement;23924;146;436;18360;6674;6432;7648;2685;501;569;23;315;2587;70298
;75116;Paris 16e Arrondissement;27780;76;875;14435;7630;4590;6971;1889;390;745;45;233;3045;68703
;75117;Paris 17e Arrondissement;15620;94;542;15550;4826;4302;4866;2062;424;490;15;249;1983;51023
;75118;Paris 18e Arrondissement;7302;111;109;5894;3005;4326;4057;2510;583;138;13;281;1551;29880
;75119;Paris 19e Arrondissement;9041;123;168;9657;3561;5043;4538;2909;622;134;12;284;1274;37367
;75120;Paris 20e Arrondissement;9200;167;108;6815;3824;5481;5097;2899;629;91;17;326;1521;36174
;Total département;;188345;1445;6086;155333;56690;57704;65376;27966;6028;6769;320;3284;24359;599703
Seine-et-Marne;77001;Achères-la-Forêt;155;1;2;264;69;145;66;84;20;6;0;12;34;858
;77002;Amillis;70;2;1;141;23;110;47;64;26;4;0;8;15;511
;77003;Amponville;44;0;0;75;16;66;29;37;6;1;0;3;12;289
;77004;Andrezel;39;0;0;64;13;43;21;23;2;0;0;2;7;214
;77005;Annet-sur-Marne;540;7;5;487;186;319;145;134;17;10;0;4;32;1885
;77006;Arbonne-la-Forêt;161;0;4;198;40;102;78;49;9;5;0;11;39;696
;77007;Argentières;42;0;0;71;16;40;26;26;7;2;0;3;8;242
;77008;Armentières-en-Brie;85;2;3;178;34;113;49;54;16;4;0;5;17;561
;77009;Arville;6;0;0;26;3;9;3;11;3;0;0;2;3;66
;77010;Aubepierre-Ozouer-le-Repos;108;0;0;210;39;130;69;86;27;2;0;8;50;729
