Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;
Région : La Réunion;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
97401;Les Avirons;961;1;6;1784;368;967;513;523;139;21;0;62;87;5432
97402;Bras-Panon;1072;1;9;1785;384;1053;509;511;142;10;0;45;76;5595
97403;Entre-Deux;620;0;4;881;195;556;353;328;113;11;0;49;64;3172
97404;L'Étang-Salé;1501;2;9;2326;493;1278;672;620;180;35;0;54;108;7279
97405;Petite-Île;1361;1;8;1825;415;967;732;594;168;21;1;67;123;6283
97406;La Plaine-des-Palmistes;430;0;4;917;141;593;265;299;77;7;0;35;39;2808
97407;Le Port;2678;0;30;5418;914;2067;1555;1132;271;75;5;91;225;14461
97408;La Possession;3315;0;30;5424;1042;2551;1314;1224;301;63;4;102;210;15580
97409;Saint-André;4193;1;36;7613;1440;4286;2082;2295;537;58;3;188;328;23059
97410;Saint-Benoît;2543;0;22;4715;932;2896;1353;1617;407;42;1;143;183;14855
97411;Saint-Denis;20850;3;213;23442;5687;10090;6748;4481;1075;299;4;374;966;74232
97412;Saint-Joseph;3040;0;13;4536;934;2916;1705;1935;585;28;1;225;295;16213
97413;Saint-Leu;2456;1;16;4879;997;2608;1607;1688;484;67;1;216;261;15281
97414;Saint-Louis;3493;1;18;6447;1221;3729;2203;2214;644;48;3;247;376;20644
97415;Saint-Paul;9299;7;71;15473;3476;8333;5023;4504;1328;161;10;599;929;49213
97416;Saint-Pierre;8551;6;80;12395;2870;6526;4034;3403;798;167;4;329;567;39731
97417;Saint-Philippe;316;0;0;639;106;474;202;311;59;3;0;21;29;2160
97418;Sainte-Marie;4601;1;33;6467;1050;2835;1370;1419;306;59;0;131;211;18484
97419;Sainte-Rose;322;0;1;691;134;550;287;351;108;0;0;27;36;2506
97420;Sainte-Suzanne;1910;1;16;3479;583;1897;853;1068;277;28;1;93;135;10341
97421;Salazie;367;0;2;956;187;717;304;392;119;3;0;45;67;3158
97422;Le Tampon;6764;0;53;10662;2151;6011;3758;3578;1058;136;4;531;849;35555
97423;Les Trois-Bassins;385;0;3;907;158;589;291;374;137;6;0;73;57;2980
97424;Cilaos;359;0;2;550;118;384;215;263;86;2;0;34;53;2066
ND;ND;8;0;0;12;1;5;0;3;0;1;0;0;3;33
Région;;81395;27;678;124223;25996;64878;37950;35128;9399;1350;41;3780;6275;391119
