Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;
Région : Martinique;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
97201;L'Ajoupa-Bouillon;215;0;0;194;67;103;95;36;14;0;1;10;20;755
97202;Les Anses-d'Arlet;461;0;0;355;176;232;191;107;22;2;0;3;28;1578
97203;Basse-Pointe;374;0;1;363;155;243;180;109;33;2;2;10;25;1496
97204;Le Carbet;499;0;0;469;185;261;198;137;25;1;0;10;33;1818
97205;Case-Pilote;753;1;3;558;252;329;212;115;18;7;0;8;25;2282
97206;Le Diamant;1029;0;0;735;348;449;325;168;33;7;0;15;54;3162
97207;Ducos;3519;0;9;2120;1007;1273;949;499;116;4;0;27;119;9641
97208;Fonds-Saint-Denis;59;0;0;71;26;36;33;16;3;0;0;5;13;261
97209;Fort-de-France;14282;3;21;7746;4780;4878;4367;1799;384;70;7;140;668;39145
97210;Le François;2762;0;3;1939;966;1331;1077;561;123;2;2;49;158;8973
97211;Grand'Rivière;66;0;0;52;18;27;22;17;4;0;0;2;3;211
97212;Gros-Morne;1371;0;0;986;561;750;626;354;79;0;1;40;109;4877
97213;Le Lamentin;15575;0;39;8704;2470;2753;2153;1130;273;67;0;87;303;33554
97214;Le Lorrain;815;0;0;610;380;461;501;239;71;0;0;29;80;3186
97215;Macouba;70;0;0;69;25;53;32;15;11;0;0;1;7;283
97216;Le Marigot;490;0;0;331;177;244;189;111;16;1;0;9;31;1599
97217;Le Marin;1237;0;2;851;463;590;471;264;60;3;0;18;71;4031
97218;Le Morne-Rouge;543;0;0;490;204;329;247;163;35;1;1;13;47;2073
97219;Le Prêcheur;99;0;0;111;36;78;32;34;6;1;0;2;10;407
97220;Rivière-Pilote;1600;0;0;1357;665;1001;782;469;122;1;0;51;167;6216
97221;Rivière-Salée;2113;1;0;1360;706;915;727;408;86;4;0;26;111;6458
97222;Le Robert;3549;1;5;2471;1212;1645;1257;759;164;10;3;52;174;11302
97223;Saint-Esprit;1276;0;0;929;484;659;538;293;65;2;0;32;90;4367
97224;Saint-Joseph;2826;1;1;1846;968;1104;935;505;101;8;0;44;151;8491
97225;Saint-Pierre;602;0;2;581;171;278;209;126;32;0;0;14;37;2051
97226;Sainte-Anne;723;0;1;528;262;316;310;128;36;0;0;14;46;2363
97227;Sainte-Luce;1776;1;2;1395;562;803;519;335;60;12;0;18;68;5552
97228;Sainte-Marie;2192;1;1;1602;930;1217;1193;596;174;0;0;52;174;8132
97229;Schoelcher;3989;2;9;2035;1344;1382;1156;455;89;13;0;31;183;10688
97230;La Trinité;1970;2;0;1355;750;852;677;356;77;1;0;24;101;6165
97231;Les Trois-Îlets;1403;1;3;916;484;566;404;246;44;4;0;20;52;4143
97232;Le Vauclin;1248;1;0;972;494;644;593;361;79;0;1;34;88;4516
97233;Le Morne-Vert;221;0;0;224;79;146;113;97;19;0;0;5;24;928
97234;Bellefontaine;182;0;0;164;77;110;77;44;11;0;0;5;15;684
ND;ND;6;0;0;8;0;2;0;0;1;0;0;0;1;18
Région;;69893;16;101;44495;21485;26060;21389;11050;2488;224;20;899;3286;201406
