Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;
Région : Mayotte;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
97601;Acoua;113;0;0;121;76;116;93;76;9;0;1;5;8;618
97602;Bandraboua;163;0;1;144;76;123;84;77;19;0;0;7;2;697
97603;Bandrele;164;1;0;137;63;115;76;60;10;0;0;5;10;642
97604;Bouéni;168;1;0;214;77;142;97;84;11;0;0;2;7;804
97605;Chiconi;155;0;0;130;86;122;118;114;21;0;0;6;15;767
97606;Chirongui;205;0;0;191;73;153;73;88;25;0;0;9;14;831
97607;Dembeni;135;0;0;119;72;111;106;84;14;0;0;5;10;657
97608;Dzaoudzi;250;1;0;157;129;182;168;135;50;0;0;9;32;1113
97609;Kani-Kéli;234;0;0;177;62;117;71;58;1;0;0;2;3;725
97610;Koungou;365;5;0;250;200;269;238;189;45;0;0;9;23;1593
97611;Mamoudzou;2483;9;1;1849;577;700;617;473;106;5;1;31;60;6912
97612;Mtsamboro;167;0;0;207;67;182;61;82;13;0;0;4;4;787
97613;M'Tsangamouji;110;0;0;92;59;92;59;58;13;0;0;2;8;493
97614;Ouangani;121;0;0;121;59;89;64;63;19;0;0;4;6;546
97615;Pamandzi;306;1;0;192;133;193;147;131;44;0;0;6;30;1184
97616;Sada;313;1;0;316;118;214;113;137;34;0;1;6;12;1265
97617;Tsingoni;193;2;1;177;101;156;119;80;20;0;0;7;12;867
ND;ND;31;0;0;24;5;7;1;5;3;0;0;0;1;77
Région;;5678;21;3;4618;2034;3082;2306;1995;456;5;3;120;258;20579
