Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Normandie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Calvados;14001;Ablon;141;2;2;286;46;147;85;67;26;1;0;6;40;849
;14003;Agy;28;1;0;60;7;53;13;25;9;2;0;2;8;208
;14005;Valambray;148;1;1;330;59;231;75;147;50;1;0;24;32;1100
;14006;Amayé-sur-Orne;141;1;1;223;44;130;37;56;12;4;0;9;18;677
;14007;Amayé-sur-Seulles;9;0;0;38;6;25;7;15;4;0;0;4;3;112
;14009;Amfreville;189;5;1;251;71;178;85;82;23;2;0;11;26;923
;14011;Aurseulles;122;3;2;383;25;260;75;151;52;2;1;33;42;1151
;14012;Angerville;10;0;0;37;5;16;13;14;3;0;0;3;4;106
;14014;Colomby-Anguerny;220;2;1;285;69;140;54;66;15;6;1;11;19;889
;14015;Anisy;149;2;0;159;39;56;32;31;6;3;0;7;13;497
;14016;Annebault;47;1;0;112;18;76;29;25;17;0;0;6;20;352
;14019;Arganchy;21;0;0;52;9;34;6;15;8;0;0;1;6;154
;14020;Argences;378;6;5;628;153;403;225;214;64;4;5;40;73;2199
;14021;Arromanches-les-Bains;95;3;0;79;13;45;36;29;12;0;0;4;17;335
;14022;Asnelles;93;1;0;113;17;72;35;48;13;0;0;5;8;406
;14023;Asnières-en-Bessin;4;0;0;9;2;7;4;4;2;0;0;0;0;33
;14024;Auberville;78;0;3;114;35;55;37;33;6;1;0;3;13;379
;14025;Aubigny;29;2;0;64;7;36;19;28;8;2;0;4;8;208
;14026;Audrieu;113;3;0;231;39;135;44;82;21;0;0;17;20;704
;14027;Les Monts d'Aunay;358;11;1;869;107;574;210;346;103;5;1;62;92;2738
;14030;Authie;276;2;2;355;99;179;62;71;15;1;0;4;24;1089
;14032;Les Authieux-sur-Calonne;36;0;0;62;27;33;17;24;10;0;0;4;9;222
;14033;Auvillars;27;0;0;41;9;30;9;21;7;0;0;3;13;159
;14034;Avenay;65;2;1;111;24;64;18;38;4;1;1;5;11;344
;14035;Balleroy-sur-Drôme;90;6;1;263;36;179;53;96;34;1;0;16;27;801
;14036;Banneville-la-Campagne;15;0;0;26;5;19;5;14;3;0;0;0;4;92
;14037;Malherbe-sur-Ajon;31;0;0;117;10;73;24;46;15;0;0;7;4;328
;14038;Banville;100;2;3;150;24;94;44;49;13;0;0;9;15;504
