Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Nouvelle-Aquitaine;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Charente;16001;Abzac;28;0;0;64;8;55;24;52;21;0;0;13;16;281
;16002;Les Adjots;15;1;0;73;14;64;25;47;13;0;0;12;14;278
;16003;Agris;54;0;0;158;17;125;42;81;27;0;1;19;21;545
;16005;Aigre;97;2;0;260;21;171;76;130;38;1;1;51;67;916
;16007;Alloue;37;1;0;84;13;52;22;48;20;0;0;14;19;311
;16008;Ambérac;10;0;0;40;5;47;16;28;21;1;0;5;12;186
;16009;Ambernac;20;0;0;59;10;49;15;32;18;1;0;15;19;239
;16010;Ambleville;13;0;0;35;6;16;11;15;3;1;0;5;7;114
;16011;Anais;48;1;0;130;16;88;23;45;15;2;0;13;9;391
;16012;Angeac-Champagne;49;0;1;124;19;76;17;29;13;1;0;14;16;360
;16013;Angeac-Charente;32;2;0;64;9;59;19;25;5;0;0;6;23;245
;16014;Angeduc;8;1;0;27;2;14;2;7;2;0;0;4;3;70
;16015;Angoulême;4674;111;31;5206;1578;3695;2283;2250;602;102;11;319;901;21763
;16016;Ansac-sur-Vienne;60;0;1;177;24;122;51;83;25;1;0;13;23;581
;16018;Ars;89;0;3;156;23;98;37;61;15;0;0;12;17;511
;16019;Asnières-sur-Nouère;100;1;1;258;36;192;63;86;32;1;0;26;44;841
;16020;Aubeterre-sur-Dronne;23;0;0;28;6;40;19;19;10;0;0;2;8;156
;16023;Aunac-sur-Charente;47;0;0;101;20;81;31;53;18;1;0;24;29;407
;16024;Aussac-Vadalle;37;1;0;101;10;77;14;50;11;0;0;16;7;323
;16025;Baignes-Sainte-Radegonde;74;3;0;215;31;147;60;120;34;1;1;39;40;764
;16026;Balzac;186;1;1;306;49;171;78;81;34;3;0;24;38;972
;16027;Barbezières;4;0;0;26;2;16;4;11;5;0;0;3;5;76
;16028;Barbezieux-Saint-Hilaire;470;14;3;792;160;578;259;338;108;4;2;76;122;2926
;16029;Bardenac;17;3;0;79;6;50;12;45;11;2;0;13;12;250
;16030;Barret;90;1;0;201;25;138;56;86;23;1;1;18;30;669
;16031;Barro;29;0;0;97;5;54;15;35;11;2;0;8;9;265
;16032;Bassac;41;1;0;79;14;64;24;57;17;0;0;12;15;324
;16034;Bazac;14;0;0;16;4;20;10;16;9;0;0;1;9;100
;16035;Beaulieu-sur-Sonnette;11;0;0;35;12;28;7;24;11;0;0;10;4;142
;16036;Bécheresse;14;0;0;56;3;43;5;23;7;0;0;6;13;171
;16037;Bellon;12;0;0;18;4;19;9;19;3;0;0;5;5;94
;16038;Benest;21;1;0;52;7;47;23;40;8;0;0;11;14;225
;16039;Bernac;34;2;0;110;16;58;25;46;16;0;0;14;13;335
;16040;Berneuil;17;0;0;57;17;33;19;37;9;0;0;7;13;209
;16041;Bessac;10;1;0;19;6;11;8;14;7;0;1;4;6;87
;16042;Bessé;13;0;0;25;6;13;1;15;4;0;0;5;5;88
;16044;Bioussac;11;0;0;31;3;32;16;29;6;1;0;8;6;143
;16045;Birac;31;0;0;86;3;46;17;27;7;3;0;3;7;230
;16046;Coteaux-du-Blanzacais;65;4;2;175;19;112;53;98;30;3;0;28;47;637
;16047;Blanzaguet-Saint-Cybard;25;1;0;47;6;39;13;16;4;1;0;5;8;167
;16048;Boisbreteau;8;0;0;19;3;16;5;7;4;0;0;9;5;76
;16049;Bonnes;32;0;0;68;19;37;16;32;7;3;0;11;9;235
;16050;Bonneuil;21;0;0;57;5;30;8;21;7;0;0;6;7;164
;16052;Bors (Canton de Tude-et-Lavalette);13;0;0;35;5;37;14;19;10;0;0;13;8;154
;16053;Bors (Canton de Charente-Sud);5;1;0;17;1;18;7;9;3;0;0;7;5;73
;16054;Le Bouchage;6;0;0;25;5;16;13;16;3;0;0;7;11;103
;16055;Bouëx;80;1;1;167;29;108;51;92;30;2;0;28;33;620
;16056;Bourg-Charente;75;0;1;185;29;91;48;52;13;2;0;13;24;533
;16057;Bouteville;34;2;0;70;6;35;12;22;3;0;0;8;9;201
;16058;Boutiers-Saint-Trojan;217;4;1;305;78;196;92;108;19;3;0;27;38;1089
;16059;Brettes;7;0;0;23;3;17;9;20;9;0;0;5;4;97
;16060;Bréville;42;0;2;95;13;43;21;49;12;2;0;14;11;305
;16061;Brie;386;6;5;893;128;584;189;319;104;7;2;65;135;2821
;16062;Brie-sous-Barbezieux;8;0;0;25;3;19;4;9;1;1;0;1;1;72
;16064;Brigueuil;80;3;1;188;39;143;59;86;29;3;0;35;49;715
;16065;Brillac;31;1;0;76;11;63;29;58;23;0;0;12;20;325
;16066;Brossac;36;1;0;83;14;66;32;50;15;0;0;24;21;343
;16067;Bunzac;35;2;0;75;19;65;13;31;5;0;0;14;6;266
;16068;Cellefrouin;31;0;1;88;9;57;31;55;18;1;0;20;34;344
;16069;Cellettes;22;0;0;74;8;57;18;38;11;1;0;12;15;256
;16070;Chabanais;146;3;1;304;58;190;122;118;42;0;1;14;54;1051
;16071;Chabrac;44;1;0;114;13;70;25;57;21;0;0;9;14;368
;16072;Chadurie;31;1;0;95;12;74;30;48;12;0;0;14;17;336
;16073;Chalais;108;1;1;282;41;235;85;164;70;4;1;53;73;1117
;16074;Challignac;28;1;0;70;7;39;12;28;12;0;0;5;6;209
;16075;Champagne-Vigny;10;0;1;45;6;32;13;16;8;1;0;3;8;143
;16076;Champagne-Mouton;55;1;0;169;32;103;39;82;36;1;0;18;32;568
;16077;Champmillon;54;0;0;119;15;75;22;34;10;1;0;11;14;356
;16078;Champniers;1415;9;19;2137;244;670;337;408;107;33;2;69;231;5681
;16079;Chantillac;19;1;1;61;5;28;13;33;8;2;1;11;13;196
;16081;La Chapelle;25;0;0;28;5;18;10;14;6;1;0;2;4;115
;16082;Boisné-La Tude;28;1;0;117;19;98;34;70;20;1;0;23;27;439
;16083;Charmé;29;1;0;48;10;35;20;21;15;0;0;8;13;201
;16084;Charras;21;1;0;56;11;41;21;26;7;0;0;11;4;200
;16085;Chasseneuil-sur-Bonnieure;225;2;2;594;79;429;165;269;88;2;1;82;95;2031
;16086;Chassenon;69;1;2;145;25;100;45;94;27;0;0;19;32;559
;16087;Chassiecq;3;0;0;18;8;22;3;16;8;0;0;6;4;88
;16088;Chassors;131;3;0;219;37;131;65;94;27;0;1;15;38;760
;16089;Châteaubernard;584;10;6;940;147;436;250;256;57;17;0;42;107;2853
;16090;Châteauneuf-sur-Charente;292;9;2;608;104;411;187;271;71;4;2;48;100;2108
;16091;Châtignac;10;1;0;30;6;31;9;11;7;0;0;7;4;115
;16093;Chazelles;148;1;1;328;48;206;87;119;50;6;0;36;49;1079
;16095;Chenon;8;0;0;40;6;22;9;12;4;0;0;1;5;108
;16096;Cherves-Châtelars;25;1;0;63;6;60;18;27;20;0;0;14;21;256
;16097;Cherves-Richemont;251;11;2;448;85;305;128;192;49;1;0;24;68;1564
;16098;La Chèvrerie;6;0;0;28;3;25;5;20;6;0;0;12;9;114
;16099;Chillac;16;1;1;44;4;27;7;18;7;0;0;5;9;139
;16100;Chirac;62;0;0;155;16;109;49;65;20;0;0;24;22;522
;16101;Claix;81;4;0;224;29;141;41;78;21;2;0;16;34;671
;16102;Cognac;2604;63;28;3147;772;1805;1076;1063;294;131;6;167;482;11638
;16103;Combiers;6;0;0;21;3;19;4;13;5;0;0;7;3;82
;16104;Condac;44;1;0;80;18;66;28;32;11;0;0;9;13;304
;16105;Condéon;42;0;1;112;6;88;31;65;20;0;0;22;17;403
;16106;Confolens;261;3;1;468;88;280;140;190;57;5;0;46;78;1617
;16107;Coulgens;27;2;0;89;11;83;23;56;20;0;1;6;17;335
;16108;Coulonges;1;0;0;12;6;27;3;10;6;0;0;3;2;71
;16109;Courbillac;45;1;0;135;17;93;32;64;11;0;0;17;23;439
;16110;Courcôme;32;2;0;141;19;99;39;75;20;0;0;21;18;466
;16111;Courgeac;6;0;0;36;3;19;9;11;8;0;0;5;10;107
;16112;Courlac;3;0;0;5;0;8;8;9;5;0;0;2;1;41
;16113;La Couronne;818;15;7;1072;290;862;496;550;143;16;1;78;152;4498
;16114;Couture;14;0;0;25;4;23;9;23;5;0;0;1;7;111
;16116;Criteuil-la-Magdeleine;24;3;0;88;13;45;14;32;9;0;0;12;10;251
;16117;Curac;5;0;0;20;7;16;9;14;5;0;0;7;3;86
;16118;Deviat;8;1;0;16;7;17;7;21;7;0;0;3;7;95
;16119;Dignac;121;2;0;252;48;182;76;113;43;5;0;27;38;909
;16120;Dirac;171;5;1;305;62;218;85;98;26;3;2;18;46;1039
;16121;Douzat;29;2;0;101;15;78;16;38;10;1;0;12;17;319
;16122;Ébréon;9;0;0;22;1;17;5;19;6;0;0;3;4;87
;16123;Échallat;37;2;1;102;16;77;26;36;16;1;0;11;13;339
;16124;Écuras;50;0;0;75;25;78;41;65;26;0;0;18;35;413
;16125;Édon;19;0;0;59;3;36;10;35;12;0;0;9;10;193
;16127;Empuré;4;0;0;22;3;14;5;11;3;0;0;4;6;72
;16128;Épenède;5;0;1;25;4;26;10;21;11;0;0;4;5;113
;16130;Les Essards;19;0;0;26;3;23;12;13;4;1;0;6;15;122
;16131;Esse;35;0;0;93;7;68;29;36;10;1;0;13;21;313
;16132;Étagnac;73;2;1;169;26;121;59;79;30;0;0;19;32;612
;16133;Étriac;9;0;0;35;0;31;9;21;9;0;1;5;5;125
;16134;Exideuil-sur-Vienne;83;2;0;201;28;127;64;95;31;1;0;21;38;692
;16135;Eymouthiers;14;0;1;61;12;46;20;33;14;0;0;8;9;218
;16136;La Faye;44;1;0;133;21;74;30;76;24;1;0;16;21;443
;16137;Feuillade;21;0;0;50;10;28;10;44;15;0;0;9;9;196
;16138;Fléac;480;6;2;843;144;488;226;251;71;5;0;33;81;2630
;16139;Fleurac;9;0;0;39;9;33;9;15;4;1;0;8;8;135
;16140;Fontclaireau;39;0;0;78;11;57;18;27;5;2;0;12;10;260
;16141;Fontenille;14;1;1;57;14;54;20;50;14;0;0;6;8;239
;16142;La Forêt-de-Tessé;11;0;1;38;9;32;17;11;3;0;0;11;4;137
;16143;Fouquebrune;58;1;0;130;16;89;28;59;23;3;1;17;22;447
;16144;Fouqueure;21;2;0;58;4;56;18;55;13;0;0;11;19;258
;16145;Foussignac;54;0;0;157;14;102;28;38;12;1;0;7;14;425
;16146;Garat;237;2;0;442;90;255;119;164;33;7;0;31;74;1455
;16147;Gardes-le-Pontaroux;18;2;0;64;3;34;8;24;11;1;1;10;6;184
;16148;Genac-Bignac;65;3;1;154;24;123;53;89;25;0;0;33;39;609
;16150;Gensac-la-Pallue;206;2;2;391;51;205;95;118;30;10;0;34;59;1203
;16151;Genté;99;5;1;196;33;97;47;80;22;3;0;10;41;634
;16152;Gimeux;93;4;0;160;27;91;36;34;15;0;1;10;18;489
;16153;Mainxe-Gondeville;97;5;0;255;46;153;51;75;34;3;1;32;41;793
;16154;Gond-Pontouvre;922;9;4;1088;241;658;384;390;92;10;0;60;173;4030
;16155;Les Gours;3;2;0;13;0;17;5;7;7;2;0;11;5;73
;16157;Le Grand-Madieu;4;0;1;30;3;31;10;20;7;1;0;2;1;111
;16158;Grassac;22;0;0;50;3;45;19;35;12;0;0;6;6;199
;16160;Guimps;34;1;0;97;5;82;15;45;15;1;0;11;20;326
;16161;Guizengeard;7;0;0;14;2;18;6;13;8;0;0;10;7;85
;16162;Gurat;14;0;0;33;6;24;10;18;6;0;0;9;8;129
;16163;Hiersac;111;4;0;225;29;147;49;80;20;1;0;16;29;712
;16164;Hiesse;7;2;0;33;3;34;12;26;23;0;0;11;16;167
;16165;Houlette;31;0;1;65;7;47;21;31;10;2;0;11;14;241
;16166;L'Isle-d'Espagnac;794;18;9;981;287;657;341;355;89;12;2;48;134;3728
;16167;Jarnac;530;4;6;809;153;520;251;257;94;5;1;54;128;2811
;16168;Jauldes;65;1;0;157;26;117;49;76;19;4;0;15;26;554
;16169;Javrezac;77;1;0;124;22;69;46;32;9;1;1;12;13;408
;16170;Juignac;22;1;0;46;7;52;13;44;10;2;0;9;16;222
;16171;Juillac-le-Coq;67;2;1;122;19;85;23;42;8;1;0;13;17;399
;16173;Juillé;13;0;0;29;3;25;5;15;8;0;0;5;7;110
;16174;Julienne;55;2;1;116;16;54;29;42;12;0;0;7;17;351
;16175;Val des Vignes;79;5;1;229;29;179;45;108;41;4;1;23;36;780
;16176;Lachaise;20;2;1;82;4;49;9;30;5;0;0;6;11;219
;16177;Ladiville;6;0;0;26;4;13;8;11;5;0;0;5;3;81
;16178;Lagarde-sur-le-Né;10;1;0;37;7;33;6;15;2;0;0;6;7;125
;16180;Laprade;15;0;0;90;6;26;15;24;13;0;0;6;9;205
;16181;Lessac;22;0;0;103;11;77;26;60;18;0;0;10;19;348
;16182;Lesterps;26;0;0;63;8;65;30;42;16;0;0;9;16;276
;16183;Lésignac-Durand;6;0;0;34;2;20;9;8;4;0;0;2;5;91
;16184;Lichères;6;0;0;17;2;6;3;7;1;1;0;4;5;52
;16185;Ligné;5;1;0;26;8;22;8;25;4;1;0;7;3;111
;16186;Lignières-Sonneville;47;0;0;102;15;61;17;39;15;1;1;10;20;330
;16187;Linars;262;5;3;373;103;257;147;151;23;2;0;20;65;1411
;16188;Le Lindois;23;0;0;52;12;47;18;29;12;0;0;12;15;221
;16189;Londigny;11;0;0;32;5;33;14;33;4;0;0;6;7;145
;16190;Longré;8;0;0;42;5;21;19;20;10;0;0;7;9;140
;16191;Lonnes;11;0;0;34;2;13;6;18;4;0;0;5;3;97
;16192;Terres-de-Haute-Charente;287;3;1;910;85;492;218;308;113;2;1;97;118;2635
;16193;Louzac-Saint-André;124;5;1;205;46;108;47;71;19;3;0;12;21;662
;16194;Lupsault;8;0;0;20;1;11;5;10;8;1;0;9;6;79
;16195;Lussac;11;0;0;42;9;38;13;24;10;0;0;10;7;165
;16196;Luxé;50;1;0;117;24;88;35;67;25;0;0;24;19;451
;16197;La Magdeleine;8;0;0;23;3;12;6;10;3;0;0;11;0;76
;16198;Magnac-Lavalette-Villars;22;0;0;90;9;56;26;34;25;0;0;11;16;289
;16199;Magnac-sur-Touvre;424;6;2;518;134;400;208;228;49;8;0;39;102;2120
;16200;Maine-de-Boixe;38;0;0;92;8;74;30;27;16;0;0;9;9;304
;16203;Mainzac;4;0;0;17;1;11;6;9;2;0;0;2;7;59
;16204;Bellevigne;81;1;3;296;28;176;56;129;35;1;0;30;39;876
;16205;Manot;36;1;1;95;11;58;29;64;22;0;0;12;21;351
;16206;Mansle;120;3;0;237;41;193;91;120;40;3;0;31;48;927
;16207;Marcillac-Lanville;32;3;0;60;19;64;31;56;15;0;1;26;22;330
;16208;Mareuil;37;1;0;92;2;54;11;35;9;0;0;4;6;252
;16209;Marillac-le-Franc;75;2;0;146;20;127;52;69;16;1;0;20;33;562
;16210;Marsac;79;2;0;159;22;94;33;66;20;0;0;18;34;526
;16211;Marthon;52;0;0;90;16;73;34;47;23;2;0;9;18;364
;16212;Massignac;26;0;1;73;11;37;22;32;7;15;0;2;20;246
;16213;Mazerolles;27;0;0;46;5;31;11;33;11;0;0;21;9;194
;16215;Médillac;8;0;0;26;4;16;9;23;4;0;0;10;6;106
;16216;Mérignac;61;2;2;171;23;97;25;56;20;1;0;23;30;512
;16217;Merpins;191;3;3;349;55;144;58;76;17;2;2;12;29;941
;16218;Mesnac;31;2;2;75;15;54;16;44;7;1;0;4;16;267
;16220;Les Métairies;61;0;2;169;19;79;30;52;13;1;0;11;16;453
;16221;Mons;7;0;0;52;7;29;13;31;5;0;0;8;7;161
;16222;Montboyer;26;0;0;67;10;56;13;38;12;1;1;13;14;251
;16223;Montbron;171;3;1;346;63;248;140;159;60;4;1;64;100;1360
;16224;Montmérac;48;1;0;162;12;107;33;58;14;0;0;16;30;482
;16225;Montemboeuf;39;5;0;121;21;90;31;56;31;0;0;14;20;428
;16226;Montignac-Charente;51;1;0;118;29;99;48;55;12;1;0;18;23;455
;16227;Montignac-le-Coq;9;0;0;20;5;21;6;19;6;0;0;2;5;94
;16229;Montjean;11;0;0;36;10;31;12;27;12;0;0;10;12;162
;16230;Montmoreau;184;5;0;454;59;314;101;215;76;3;1;68;79;1558
;16231;Montrollet;22;0;0;56;5;50;13;32;12;2;0;7;17;216
;16232;Mornac;211;5;1;464;78;321;122;179;53;6;1;34;63;1539
;16233;Mosnac;43;2;1;96;9;57;28;39;10;1;0;7;14;307
;16234;Moulidars;63;0;0;165;24;79;27;53;14;2;0;14;27;469
;16236;Mouthiers-sur-Boëme;279;7;4;488;96;313;151;178;42;4;0;26;75;1663
;16237;Mouton;17;0;1;38;9;28;14;23;12;0;0;8;12;162
;16238;Moutonneau;3;0;0;16;4;9;9;14;2;0;0;2;3;62
;16239;Mouzon;5;1;0;21;4;15;10;15;3;0;0;1;8;84
;16240;Nabinaud;6;0;1;15;4;14;1;8;7;0;0;4;3;64
;16241;Nanclars;13;0;0;31;8;38;11;24;5;0;0;2;10;143
;16242;Nanteuil-en-Vallée;92;3;0;203;27;155;74;116;40;0;0;45;53;809
;16243;Nercillac;116;3;2;225;30;150;57;82;32;2;0;15;39;752
;16244;Nersac;244;10;1;415;94;295;114;191;49;5;1;35;49;1503
;16245;Nieuil;65;0;0;172;15;137;44;103;34;0;1;30;35;636
;16246;Nonac;21;1;0;56;12;44;15;36;5;0;0;8;5;204
;16248;Oradour;8;0;0;30;3;22;13;17;7;0;0;7;8;115
;16249;Oradour-Fanais;12;1;0;48;9;32;25;21;10;0;0;6;12;175
;16250;Orgedeuil;11;0;0;40;3;40;7;34;10;0;0;8;6;160
;16251;Oriolles;15;0;0;47;3;40;8;26;10;0;0;7;8;164
;16252;Orival;18;0;0;38;8;22;14;7;9;1;0;5;9;131
;16253;Paizay-Naudouin-Embourie;7;2;0;60;8;45;16;43;12;0;0;17;8;219
;16254;Palluaud;17;1;0;37;7;29;15;32;8;0;0;11;12;169
;16255;Parzac;13;1;0;20;5;28;8;13;6;0;0;2;4;101
;16256;Passirac;13;0;0;27;4;31;10;26;14;0;0;9;3;138
;16258;Pérignac;24;2;0;85;21;72;27;63;8;2;0;7;14;325
;16260;Pillac;12;0;3;37;8;36;18;34;13;0;0;9;7;178
;16261;Les Pins;31;0;0;77;11;56;21;50;17;0;0;13;16;292
