Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Occitanie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Ariège;09001;Aigues-Juntes;5;0;0;9;0;5;3;3;1;0;0;3;2;32
;09002;Aigues-Vives;61;1;0;136;24;93;25;54;25;0;0;15;12;446
;09003;L'Aiguillon;33;0;0;67;7;52;14;45;18;1;0;12;10;260
;09004;Albiès;8;1;0;27;1;18;7;12;5;0;0;2;3;84
;09005;Aleu;12;1;0;17;2;14;13;17;7;0;0;5;7;96
;09006;Alliat;6;0;0;13;4;5;0;3;0;0;0;1;2;34
;09007;Allières;0;0;0;16;0;7;1;8;5;1;0;0;3;42
;09008;Alos;6;0;0;16;3;19;4;10;4;0;0;5;6;73
;09009;Alzen;11;5;1;22;4;26;15;25;8;2;0;8;3;130
;09011;Antras;1;0;0;9;1;1;9;4;4;0;0;2;3;34
;09012;Appy;4;0;0;5;0;2;2;2;0;0;0;1;0;16
;09013;Arabaux;9;0;0;16;0;10;1;7;1;0;0;1;0;45
;09014;Argein;20;0;0;23;12;22;12;18;5;0;0;7;10;129
;09015;Arignac;78;1;0;148;20;96;32;76;15;0;0;14;23;504
;09016;Arnave;18;0;0;33;6;32;15;22;10;0;1;6;8;151
;09017;Arrien-en-Bethmale;9;2;0;20;2;15;11;6;5;0;1;1;8;81
;09018;Arrout;7;1;0;9;3;6;9;13;1;0;1;4;4;58
;09019;Artigat;27;0;1;91;11;66;25;62;27;1;0;18;19;348
;09020;Artigues;2;0;0;6;1;5;2;7;5;1;0;0;1;30
;09021;Artix;10;0;0;19;4;22;8;12;3;0;0;7;13;98
;09022;Arvigna;20;1;0;44;6;37;10;17;6;0;0;4;5;151
;09023;Ascou;10;0;0;16;2;10;6;13;3;0;0;4;4;69
;09024;Aston;19;0;0;52;14;25;7;14;7;1;0;6;7;153
;09025;Aucazein;6;0;0;6;0;4;4;6;1;0;0;3;5;35
;09026;Audressein;18;0;0;23;10;15;6;14;6;0;0;6;5;104
;09027;Augirein;1;0;0;11;3;11;6;7;3;1;0;6;2;53
;09029;Aulus-les-Bains;14;1;0;19;6;14;9;10;2;0;0;7;3;85
;09030;Auzat;37;1;0;77;13;72;24;34;19;0;0;13;10;300
;09031;Axiat;4;0;0;5;2;1;1;5;2;0;0;1;0;21
;09032;Ax-les-Thermes;127;1;1;204;35;120;74;80;19;0;0;12;33;707
;09033;Bagert;4;0;0;4;1;4;2;3;2;0;0;1;1;22
;09034;Balacet;0;1;0;1;1;3;1;1;2;0;0;1;2;13
;09035;Balaguères;14;0;0;32;10;24;15;18;6;0;0;9;6;134
;09037;Barjac;1;0;0;4;3;8;3;2;1;0;0;1;2;25
;09038;La Bastide-de-Besplas;24;4;0;65;14;50;26;36;19;0;0;8;16;262
;09039;La Bastide-de-Bousignac;31;0;1;75;8;31;17;30;22;0;0;9;14;238
;09040;La Bastide-de-Lordat;23;2;0;61;6;37;6;22;4;1;0;7;6;175
;09041;La Bastide-du-Salat;16;2;0;32;9;27;17;15;11;0;0;4;11;144
;09042;La Bastide-de-Sérou;69;5;0;150;27;110;60;75;35;2;0;24;30;586
;09043;La Bastide-sur-l'Hers;81;1;0;91;22;85;36;54;19;0;1;19;26;435
;09044;Baulou;15;0;0;27;2;24;5;13;10;0;0;3;7;107
;09045;Bédeilhac-et-Aynat;20;1;0;33;3;27;15;19;7;0;0;9;7;141
;09046;Bédeille;1;1;0;4;3;8;7;9;5;0;0;4;3;45
;09047;Bélesta;124;1;0;166;31;136;52;84;35;0;0;24;41;694
;09048;Belloc;7;0;1;12;3;9;2;10;1;0;0;4;2;51
;09049;Bénac;15;1;0;31;6;27;11;19;5;0;0;3;4;123
;09050;Benagues;59;0;0;123;15;67;21;33;9;2;0;6;11;346
;09051;Bénaix;8;0;0;30;8;27;11;10;7;0;0;7;6;114
