Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Pays de la Loire;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Loire-Atlantique;44001;Abbaretz;92;5;0;283;40;271;101;197;58;0;0;45;53;1145
;44002;Aigrefeuille-sur-Maine;420;9;3;740;133;462;185;241;44;8;1;21;58;2325
;44003;Ancenis-Saint-Géréon;1452;42;10;3262;492;1168;693;696;177;36;1;79;217;8326
;44005;Chaumes-en-Retz;524;13;1;1163;212;884;342;504;169;14;3;72;125;4027
;44006;Assérac;191;6;0;292;78;235;133;145;34;4;0;32;43;1194
;44007;Avessac;172;5;0;346;77;307;142;208;78;3;0;38;82;1458
;44009;Basse-Goulaine;1505;24;12;1654;512;1001;569;430;91;27;1;45;138;6010
;44010;Batz-sur-Mer;581;6;4;455;181;322;256;154;36;6;0;18;73;2093
;44012;La Bernerie-en-Retz;469;7;2;586;175;339;210;193;40;2;1;31;60;2116
;44013;Besné;291;4;1;550;101;400;153;240;67;7;0;40;77;1930
;44014;Le Bignon;432;12;3;823;180;483;185;244;55;11;1;22;62;2513
;44015;Blain;779;14;4;1553;343;1300;545;799;208;20;0;108;197;5870
;44016;La Boissière-du-Doré;48;3;0;194;32;162;44;88;25;1;0;12;17;625
;44018;Bouaye;1078;25;10;1402;374;938;518;437;95;20;3;41;102;5043
;44019;Bouée;83;4;2;173;35;134;58;81;16;3;0;7;16;612
;44020;Bouguenais;2491;98;21;3299;930;2172;1219;1125;253;49;0;98;295;12050
;44021;Villeneuve-en-Retz;355;9;6;793;160;658;235;376;109;13;1;56;103;2874
;44022;Boussay;237;4;1;487;82;333;149;167;48;3;0;25;64;1599
;44023;Bouvron;200;7;2;428;93;378;164;261;75;5;0;45;62;1720
;44024;Brains;343;11;1;511;130;363;162;194;38;6;1;10;46;1815
;44025;Campbon;299;15;3;649;142;509;221;281;75;7;0;53;78;2331
;44026;Carquefou;3324;50;34;4374;989;1985;1168;876;159;59;1;80;260;13359
;44027;Casson;228;9;2;378;96;312;109;171;35;4;0;19;52;1414
;44028;Le Cellier;385;16;4;674;163;500;237;299;67;19;1;42;74;2482
;44029;Divatte-sur-Loire;701;24;3;1227;318;830;421;470;120;10;2;52;153;4331
;44030;La Chapelle-des-Marais;458;10;1;592;149;507;251;276;71;4;2;30;74;2426
;44031;La Chapelle-Glain;40;1;0;109;11;98;32;78;28;1;0;12;19;428
;44032;La Chapelle-Heulin;349;16;2;541;138;377;170;194;32;14;0;29;72;1935
;44033;La Chapelle-Launay;353;8;2;560;115;399;162;207;45;8;1;34;57;1949
;44035;La Chapelle-sur-Erdre;3177;55;19;3873;1100;2119;1243;941;175;57;6;83;330;13179
;44036;Châteaubriant;1203;16;2;1888;428;1288;680;831;245;32;3;115;217;6947
;44037;Château-Thébaud;339;12;1;497;128;396;187;203;53;11;0;24;68;1919
;44038;Chauvé;184;13;3;471;90;385;170;214;63;4;1;33;54;1687
;44039;Cheix-en-Retz;99;0;1;207;36;145;42;65;15;2;0;12;25;648
