Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Provence-Alpes-Côte d Azur;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;"Crit'Air
4";"Crit'Air
5";Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
Alpes-de-Haute-Provence;04001;Aiglun;175;3;1;290;57;174;75;91;26;0;0;14;38;945
;04004;Allemagne-en-Provence;45;3;0;97;24;64;26;49;25;0;0;14;25;373
;04005;Allons;13;0;0;8;3;12;10;7;1;0;0;4;6;66
;04006;Allos;79;0;2;124;32;60;39;28;17;1;0;6;15;404
;04007;Angles;13;0;0;8;0;5;4;5;1;0;0;2;2;40
;04008;Annot;85;1;1;147;55;112;69;60;18;0;0;13;30;589
;04012;Aubenas-les-Alpes;7;0;0;15;3;8;8;10;3;0;0;5;7;67
;04013;Aubignosc;69;0;0;128;23;73;33;47;17;2;0;7;14;414
;04016;Authon;6;0;1;6;1;8;3;5;1;0;0;3;1;35
;04017;Auzet;9;0;0;21;3;10;6;10;1;0;0;3;6;70
;04018;Banon;75;2;1;171;29;105;49;79;32;1;1;26;37;609
;04019;Barcelonnette;310;8;2;372;142;308;203;179;36;2;1;27;72;1663
;04020;Barles;9;1;0;16;4;15;0;8;3;0;0;6;3;65
;04021;Barras;9;2;0;20;7;18;9;11;5;0;0;4;1;87
;04022;Barrême;39;1;0;63;13;46;33;28;11;1;0;12;17;264
;04023;Bayons;12;0;0;29;13;19;9;22;3;1;0;5;9;122
;04024;Beaujeu;13;1;0;17;4;16;9;7;4;0;0;1;6;78
;04025;Beauvezer;51;2;1;57;28;51;33;30;10;0;1;6;17;286
;04026;Bellaffaire;15;1;0;30;7;10;16;9;3;0;0;3;6;101
;04027;Bevons;27;3;0;37;16;26;14;20;3;0;1;7;15;169
;04028;Beynes;11;0;0;17;3;21;10;10;6;0;1;7;6;92
;04030;Blieux;3;0;0;8;2;4;2;2;3;0;1;3;6;35
;04031;Bras-d'Asse;57;4;1;90;20;72;37;60;21;2;0;13;17;393
;04032;Braux;17;0;0;22;5;14;10;8;2;0;0;4;8;92
;04033;Ubaye-Serre-Ponçon;65;1;1;132;24;100;33;64;22;2;0;8;18;470
;04034;La Brillanne;80;0;2;168;37;135;68;87;22;1;0;14;35;650
;04035;Brunet;23;1;1;45;10;34;12;28;6;0;0;11;10;181
;04036;Le Brusquet;112;0;1;206;35;140;58;79;21;4;0;11;24;690
;04037;Le Caire;8;1;0;9;3;7;3;8;2;0;0;0;2;43
;04039;Castellane;155;6;0;202;66;153;131;115;41;3;0;35;44;950
;04040;Le Castellard-Mélan;3;1;0;9;2;7;6;9;1;0;0;1;3;42
;04041;Le Castellet;23;0;0;52;13;31;10;18;4;1;1;8;7;170
;04042;Castellet-lès-Sausses;16;0;0;15;5;13;6;14;5;0;0;1;9;84
;04043;Val-de-Chalvagne;5;0;0;10;0;7;9;8;3;0;0;0;6;48
;04045;Céreste;136;0;3;194;41;152;71;91;35;4;0;30;23;780
;04046;Le Chaffaut-Saint-Jurson;59;2;1;131;23;92;44;67;17;3;0;17;29;485
;04047;Champtercier;88;0;0;160;43;84;64;50;16;2;0;12;16;535
;04049;Château-Arnoux-Saint-Auban;546;13;4;831;226;724;324;443;120;5;0;74;125;3434
;04050;Châteaufort;4;0;0;3;2;2;2;5;0;0;0;1;1;20
;04051;Châteauneuf-Miravail;4;1;0;17;2;5;4;7;0;0;0;1;4;45
;04053;Châteauneuf-Val-Saint-Donat;75;4;0;90;18;71;25;43;17;1;0;11;19;374
;04054;Châteauredon;6;3;0;15;2;11;4;6;2;0;0;2;9;61
;04055;Chaudon-Norante;13;0;0;32;5;20;6;9;5;0;0;3;6;99
;04057;Clamensane;12;1;0;27;6;24;11;10;2;0;0;0;7;102
;04058;Claret;21;2;0;45;6;29;11;24;8;1;0;10;7;165
;04059;Clumanc;25;3;0;46;3;23;10;13;13;0;0;12;8;157
;04061;Colmars;43;1;0;75;19;45;26;30;6;1;0;7;17;270
;04062;La Condamine-Châtelard;24;2;0;26;13;21;15;13;3;0;0;1;2;121
;04063;Corbières-en-Provence;165;3;2;204;52;138;52;73;31;1;0;19;26;767
;04065;Cruis;80;7;1;108;32;88;35;47;19;1;0;22;18;457
;04066;Curbans;55;2;0;109;23;66;30;48;15;0;0;4;16;368
;04067;Curel;5;1;0;2;2;6;3;4;3;0;0;3;2;31
;04068;Dauphin;114;0;1;144;32;121;62;66;11;0;0;11;38;600
;04069;Demandolx;9;0;0;22;6;9;6;8;3;0;0;0;4;67
;04070;Digne-les-Bains;2278;48;10;2678;771;1792;1036;1064;273;46;1;150;359;10507
;04072;Draix;9;0;0;20;4;13;5;10;7;0;0;0;4;73
;04073;Enchastrayes;66;4;0;82;32;58;38;37;8;0;0;6;24;355
;04074;Entrages;2;0;0;16;3;15;4;8;2;0;0;2;4;57
;04075;Entrepierres;41;2;1;53;19;51;35;30;10;2;0;14;13;270
;04076;Entrevaux;80;1;0;116;29;83;55;51;18;2;0;19;31;484
;04077;Entrevennes;13;2;0;19;6;31;6;16;8;0;0;8;2;111
;04079;L'Escale;163;3;1;267;41;201;82;115;29;1;0;25;35;963
;04081;Esparron-de-Verdon;61;1;2;75;13;42;26;36;14;1;0;11;19;302
;04084;Estoublon;56;3;2;85;24;53;27;53;17;2;0;14;21;357
;04085;Faucon-du-Caire;2;0;0;5;1;4;3;2;0;0;0;1;2;21
;04086;Faucon-de-Barcelonnette;32;1;0;63;15;25;25;16;4;0;0;2;6;189
;04087;Fontienne;29;0;0;27;8;12;10;6;6;0;0;5;5;108
;04088;Forcalquier;617;15;1;695;226;550;360;369;112;9;1;58;127;3141
;04090;Le Fugeret;21;0;0;25;7;19;19;21;5;0;0;8;11;136
;04091;Ganagobie;13;0;0;12;2;8;2;4;3;0;0;2;2;49
;04092;La Garde;5;0;0;13;7;10;2;8;3;0;0;1;2;52
;04093;Gigors;1;0;0;3;6;5;3;4;3;0;0;0;0;25
;04094;Gréoux-les-Bains;476;7;3;544;124;391;187;204;40;8;1;21;63;2070
;04095;L'Hospitalet;14;0;0;21;3;12;3;12;2;0;0;2;0;70
;04096;Jausiers;132;5;0;167;50;124;67;79;22;1;0;20;30;698
;04097;La Javie;47;0;0;64;12;45;30;31;6;2;0;4;14;256
